winner,score_player,duration,algorithm
1,15,159,1
1,11,4,1
0,0,9,1
0,2,79,1
1,13,17,1
1,15,33,1
0,10,139,1
0,8,27,1
0,0,8,1
0,0,5,1
1,14,5,1
0,0,3,1
1,13,27,1
1,12,20,1
1,15,19,1
0,7,35,1
1,15,40,1
1,10,7,1
1,17,172,1
1,12,73,1
1,13,80,1
1,13,78,1
1,10,22,1
1,11,85,1
0,0,9,1
1,13,57,1
1,17,16,1
1,13,6,1
0,6,11,1
0,0,1,1
0,3,5,1
0,0,6,1
1,12,59,1
0,8,17,1
0,0,4,1
1,11,154,1
0,5,13,1
1,12,76,1
1,11,10,1
0,6,5,1
0,0,3,1
1,10,25,1
0,8,52,1
1,15,38,1
1,11,10,1
0,8,7,1
0,6,2,1
0,0,4,1
0,5,22,1
1,12,7,1
1,12,11,1
1,14,9,1
0,0,4,1
1,12,8,1
1,12,65,1
1,14,40,1
0,0,3,1
0,1,5,1
1,12,81,1
0,0,1,1
0,1,3,1
1,14,7,1
1,13,7,1
1,10,7,1
0,2,2,1
1,10,4,1
1,12,15,1
1,13,148,1
1,11,5,1
1,13,55,1
0,0,3,1
1,10,7,0
0,0,3,0
0,0,10,0
0,0,6,0
1,12,124,0
0,0,7,0
0,0,1,0
1,14,52,0
0,0,5,0
0,0,1,0
0,6,4,0
1,11,150,0
0,0,4,0
0,0,1,0
0,2,13,0
0,0,3,0
1,13,16,0
1,12,34,0
0,7,6,0
1,12,72,0
1,10,23,0
1,10,6,0
0,7,27,0
0,5,3,0
0,0,1,0
0,0,7,0
0,0,1,0
1,12,10,0
1,12,105,0
1,16,662,0
1,10,7,0
1,16,131,0
0,6,216,0
0,0,3,0
0,1,8,0
0,10,37,0
0,0,2,0
0,0,1,0
1,15,47,0
1,13,49,0
0,5,21,0
1,13,18,0
0,1,4,0
0,0,1,0
1,16,44,0
0,1,2,0
1,11,8,0
0,0,23,0
0,1,30,0
1,14,43,0
0,9,9,0
0,2,52,0
1,10,19,0
1,12,97,0
0,0,8,0
1,11,3,0
0,6,2,0
1,13,44,0
0,0,4,0
0,0,5,0
1,10,12,0
0,0,13,0
0,0,5,0
0,0,14,0
1,11,28,0
1,11,98,0
0,0,8,0
0,0,10,0
1,14,16,0
1,14,164,0
0,7,134,0
0,0,2,0
1,12,207,0
0,0,4,0
0,0,31,0
0,6,31,0
0,0,10,0
1,11,34,0
0,0,12,0
0,6,31,0
0,6,13,0
1,20,45,0
1,12,5,0
0,0,2,0
0,2,76,0
0,0,1,0
1,11,32,0
0,8,14,0
0,0,6,0
0,0,6,0
1,14,7,0
0,0,2,0
0,5,2,0
0,2,5,0
1,10,23,0
0,6,9,0
1,11,3,0
1,12,9,0
0,1,3,0
1,11,17,0
0,3,7,0
1,12,4,0
1,10,36,0
0,0,6,0
0,0,8,0
1,12,4,0
0,3,13,0
1,12,3,0
0,0,1,0
0,0,1,0
0,0,1,0
1,10,71,0
1,14,61,0
0,0,4,0
1,10,5,0
0,0,7,0
1,18,76,0
0,0,1,0
0,0,11,0
0,4,9,0
0,2,16,0
0,0,31,0
0,5,5,0
1,11,2,0
0,1,1,0
0,6,17,0
0,1,24,0
0,9,59,0
1,11,30,1
1,11,5,1
0,0,2,1
1,10,49,1
1,10,16,1
1,10,48,1
0,0,5,1
1,12,4,1
1,16,127,1
1,12,67,1
1,12,6,1
0,6,3,1
1,23,37,1
0,6,3,1
1,12,57,1
0,0,4,1
0,5,57,1
0,7,24,1
1,11,8,1
0,0,9,1
0,0,6,1
1,15,14,1
0,6,10,1
0,0,3,1
0,10,44,1
0,1,4,1
1,12,12,1
0,0,3,1
1,11,14,1
0,6,193,1
1,10,4,1
0,0,3,1
1,11,184,1
1,10,6,1
0,1,67,1
0,2,7,1
0,0,4,1
1,12,12,1
0,7,219,1
0,0,25,1
0,0,2,1
0,0,1,1
0,5,1,1
0,1,3,1
1,12,58,1
0,8,16,1
1,12,12,1
0,0,3,1
1,10,10,1
1,18,62,1
0,0,12,1
0,7,10,1
0,7,27,1
1,11,112,1
0,2,3,1
0,0,1,1
1,11,2,1
1,10,22,1
1,21,183,1
1,10,10,1
1,10,101,1
1,11,21,1
0,6,2,1
1,13,116,1
1,12,48,1
0,0,2,1
0,0,18,1
0,0,2,1
1,10,77,1
1,10,24,1
1,13,7,1
0,0,3,1
1,12,2,1
0,6,27,1
1,14,26,1
1,16,31,1
1,14,120,1
1,15,5,1
1,14,17,1
1,16,29,1
1,11,191,1
0,0,7,1
0,0,2,1
0,7,2,1
1,13,54,1
0,7,14,1
0,0,2,1
1,16,53,1
0,0,8,1
0,7,9,1
1,12,26,1
0,6,1,1
1,12,61,1
0,7,35,1
0,7,4,1
0,0,10,1
1,14,9,1
1,12,33,1
1,17,185,1
0,0,50,1
0,8,11,1
0,1,7,1
1,12,19,1
1,11,6,1
1,17,49,1
1,14,20,1
1,10,26,0
0,1,10,0
1,11,1,0
1,11,4,0
0,2,20,0
0,0,48,0
1,14,24,0
0,9,7,0
0,2,1,0
0,1,5,0
1,14,49,0
1,13,39,0
1,15,109,0
1,14,115,0
0,0,10,0
0,0,4,0
0,8,20,0
1,11,55,0
0,0,1,0
0,0,4,0
0,1,7,0
0,0,22,0
0,0,4,0
1,14,16,0
0,0,3,0
1,16,24,0
0,2,73,0
0,6,2,0
1,11,25,0
0,6,8,0
0,0,4,0
0,3,4,0
0,0,1,0
1,13,35,0
1,12,8,0
0,8,3,0
1,11,120,0
1,10,14,0
0,0,1,0
1,17,94,0
0,3,16,0
1,12,48,0
0,10,54,0
1,12,8,0
1,10,0,0
0,0,5,0
0,6,11,0
0,0,3,0
1,13,15,0
0,0,4,0
1,11,23,0
1,13,79,0
0,0,3,0
0,9,50,0
1,10,3,0
0,0,2,0
0,1,12,0
0,5,8,0
0,0,4,0
1,16,204,0
1,17,26,0
0,6,11,0
1,12,77,0
0,7,3,0
0,3,6,0
0,0,3,0
1,11,150,0
1,10,96,0
0,1,1,0
1,13,9,0
0,1,9,0
1,11,91,0
0,1,15,0
1,10,8,0
0,1,8,0
0,0,1,0
1,12,55,0
1,11,56,0
1,11,55,0
0,0,9,0
0,0,6,0
0,6,5,0
0,5,6,0
1,13,72,0
0,0,9,0
1,12,44,0
0,0,2,0
1,13,66,0
0,5,7,0
1,15,14,0
0,5,57,0
0,3,8,0
1,14,144,0
0,1,5,0
0,0,5,0
0,0,1,0
0,0,3,0
1,10,8,0
0,7,4,0
0,1,13,0
0,1,10,0
0,0,1,0
1,16,16,0
0,0,9,0
1,14,14,0
0,0,4,0
0,1,35,0
0,0,5,0
0,0,5,0
0,0,3,0
0,5,6,0
1,14,40,0
1,18,49,0
0,5,6,0
0,3,6,0
0,3,8,0
0,0,9,0
0,0,5,0
0,0,6,0
0,2,27,0
0,3,12,0
0,5,54,0
0,1,1,0
1,11,35,0
0,1,1,0
1,10,1,0
1,11,18,0
0,3,11,0
1,12,27,0
0,1,8,0
0,0,13,0
1,11,21,0
1,13,37,0
0,0,13,0
0,0,2,0
0,0,2,0
0,1,6,0
0,9,16,0
0,0,4,0
0,2,21,0
0,0,8,0
0,0,2,0
0,0,3,0
0,7,18,0
1,18,51,0
0,9,5,0
0,5,6,0
1,10,61,0
0,0,3,0
0,1,5,0
0,0,4,0
0,0,4,0
0,0,15,0
0,0,5,0
1,12,59,0
0,0,3,0
1,11,110,0
1,13,3,0
0,0,3,0
0,3,41,0
0,8,48,0
1,11,76,0
1,10,8,0
0,0,7,0
0,3,13,0
0,2,11,0
0,5,4,0
1,11,16,0
0,5,2,0
1,10,9,0
0,2,5,0
0,9,10,0
1,12,12,0
0,0,9,0
0,3,7,0
1,11,30,0
0,1,5,0
0,0,42,0
0,0,0,0
0,2,14,0
1,13,21,0
0,5,1,0
1,11,109,0
1,11,23,0
0,9,8,0
0,0,4,0
0,4,13,0
0,0,4,0
0,9,34,0
0,2,25,0
1,10,31,0
0,0,1,0
0,11,6,0
0,2,27,0
0,8,44,0
0,0,10,0
0,6,43,0
1,12,12,0
0,1,19,0
0,0,1,0
1,10,17,0
0,0,0,0
0,0,7,0
0,1,17,0
0,2,10,0
1,17,158,0
1,14,41,0
0,0,2,0
0,9,8,0
0,0,1,0
0,0,8,0
0,1,11,0
0,0,1,0
1,12,4,0
0,5,24,0
0,6,6,0
0,0,6,0
0,0,7,0
0,0,16,0
1,12,17,0
1,10,4,0
0,8,2,0
1,12,57,0
0,2,5,0
0,7,38,0
0,2,33,0
1,17,30,0
1,14,32,0
0,5,17,0
0,0,4,0
1,13,7,0
0,0,3,0
0,0,6,0
1,10,6,0
1,12,4,0
1,10,28,0
0,6,7,0
0,5,9,0
0,7,15,0
1,19,22,0
0,6,3,0
0,0,1,0
1,12,18,0
0,0,1,0
0,5,13,0
0,5,10,0
1,10,5,0
0,2,5,0
0,0,3,0
0,5,4,0
0,1,3,0
0,7,4,0
1,15,7,0
0,0,8,0
0,0,1,0
0,0,30,0
1,11,26,0
1,11,6,0
